text,class
 Other suggested causes for erratic and dangerous kangaroo behaviour include extreme thirst and hunger,0
"
 
 In 2003, Lulu, an Eastern Grey, saved a farmer's life",0
  She received the RSPCA National Animal Valor Award on May 19 of the next year,0
"
 
 
 
 A ""kangaroo crossing"" sign on an Australian highway",0
"
 A kangaroo crossing a highway",0
"
 A collision with a vehicle is capable of killing a kangaroo",0
 Kangaroos dazzled by headlights or startled by engine noise have been known to leap in front of cars,0
"  Since kangaroos in mid-bound can reach speeds of around 50 km/h (31 mph) and are relatively heavy, the force of impact can be severe",0
"  Small vehicles may be destroyed, while larger vehicles may suffer engine damage",0
 The risk of harm to vehicle occupants is greatly increased if the windscreen is the point of impact,0
"  As a result, ""kangaroo crossing"" signs are commonplace in Australia",0
"
 
 Vehicles that frequent isolated roads, where roadside assistance may be scarce, are often fitted with ""roo bars"" to minimise damage caused by collision",0
" Bonnet-mounted devices, designed to scare wildlife off the road with ultrasound and other methods, have been devised and marketed",0
"
 
 If a female is the victim of a collision, animal welfare groups ask that her pouch be checked for any surviving joey, in which case it may be removed to a wildlife sanctuary or veterinary surgeon for rehabilitation",0
"  Likewise, when an adult kangaroo is injured in a collision, a vet, the RSPCA or the National Parks and Wildlife Service can be consulted for instructions on proper care",0
" In New South Wales, rehabilitation of kangaroos is carried out by volunteers from WIRES",0
"
 
 
 
 Occasionally, individuals take on the task of rearing a recovered joey themselves",0
" The rule-of-thumb says that if the joey is already covered with fur at the time of the accident (as opposed to still being in its embryonic stage), it stands a good chance of growing up properly",0
" Lactose-free milk is required, otherwise the animal may develop blindness",0
 They hop readily into a cloth bag when it is lowered in front of them approximately to the height where the mother's pouch would be,0
" The joey's instinct is to ""cuddle up"", thereby endearing themselves to their keepers, but after hand-rearing a joey, it cannot usually be released into the wild and be expected to provide for itself immediately",0
" Usually wildlife sanctuaries are willing to adopt kangaroos which are no longer practical, or have grown too large to contain, needing at least 1 acre and 7ft boundary fences for a fully grown kangaroo",0
"
 
 
 
 
 Kangaroos have been featured on coins, as well as being used as emblems and logos",0
The polar bear (Ursus maritimus) is a bear native to the Arctic,1
Polar bears and Kodiak bears are the world's largest land carnivores with most adult males weighing 300-600 kg (660-1320 lb); adult females are about half the size of males,1
Its fur is hollow and translucent but usually appears as white or cream colored thus providing the animal with effective camouflage,1
Its skin is actually black in color,1
Its thick blubber and fur insulate it against the cold,1
The bear has a short tail and small ears that help reduce heat loss as well as a relatively small head and long tapered body to streamline it for swimming,1
A semi-aquatic marine mammal the polar bear has adapted for life on a combination of land sea and ice and is the apex predator within its range,1
Polar Bears International It feeds mainly on seals young walruses and whales although it will eat anything it can kill,1
The polar bear is a vulnerable species at high risk of extinction,1
Zoologists and climatologists believe that the projected decreases in the polar sea ice due to global warming will reduce their population by two thirds by mid-century,1
Database entry includes a lengthy justification of why this species is listed as vulnerable,1
Local long-term studies show that 7 out of 19 subpopulations are declining or already severely reduced,1
See also HTML excerpts: population status reviews and Table 1 summarizing polar bear population status per 2005,1
Polar Bears and Conservation and In the USA the Center for Biological Diversity petitioned to up-list the legal conservation status of polar bears to threatened species in 2005,1
See also the Center's website on the issue,1
This petition is still under review,1
Polar bears rank with the Kodiak bear as among the largest living land carnivores and male polar bears may weigh twice as much as a Siberian tiger,1
Most adult males weigh 350 650 kg (770 1500+ lb) and measure 2,1
Stirling makes no mention of length these are from SeaWorld The great difference in body size makes the polar bear among the most sexually dimorphic of mammals surpassed only by the eared seals,1
At birth cubs weigh only 600 700 g or about a pound and a half,1
The largest polar bear on record was a huge male allegedly weighing 1002 kg (2200 lb) shot at Kotzebue Sound in northwestern Alaska in 1960,1
A Polar Bear resting,1
A polar bear's fur provides camouflage and insulation,1
Although the fur appears white in fact the individual hairs are translucent like the water droplets that make up a cloud; the coat may yellow with age,1
Stiff hairs on the pads of a bear's paws provide insulation and traction on the ice,1
Polar bears gradually molt their hair from May to August; Kolenosky G,1
Ontario Fur Trappers Association North Bay Ontario Canada,1
however unlike other Arctic mammals polar bears do not shed their coat for a darker shade to camouflage themselves in the summer habitat,1
It was once conjectured that the hollow guard hairs of a polar bear coat acted as fiber-optic tubes to conduct light to its black skin where it could be absorbed - a theory disproved by recent studies,1
An infrared image of a polarbear,1
The thick undercoat does however insulate the bears: they overheat at temperatures above 10 °C (50 °F) and are nearly invisible under infrared photography; only their breath and muzzles can be easily seen,1
When kept in captivity in warm humid conditions it is not unknown for the fur to turn a pale shade of green,1
This is due to algae growing inside the guard hairs in unusually warm conditions the hollow tubes provide an excellent home for algae,1
Whilst the algae is harmless to the bears it is often a worry to the zoos housing them and affected animals are sometimes washed in a salt solution or mild peroxide bleach to make the fur white again,1
The guard hair is 5-15 cm over most of the body of polar bears,1
However in the forelegs males have significantly longer increasing in length until 14 years of age,1
The ornamental foreleg hair is suggested as a form of an attractive trait for females likened to the lion mane,1
The polar bears ears and tail are smaller than other bears and its legs are stocky as expected from Allen's rule for a northerly animal,1
Its feet are very large however presumably to distribute load like snowshoes when walking on snow or thin ice,1
The bears sometimes have problems with various skin diseases with dermatitis caused sometimes by mites or other parasites,1
The bears are especially susceptible to Trichinella a parasitic roundworm they contract through cannibalism,1
Sometimes excess heavy metals have been observed as well as ethylene glycol (antifreeze) poisoning,1
Bears exposed to oil and petroleum products lose the insulative integrity of their coats forcing metabolic rates to dramatically increase to maintain body heat in their challenging environment,1
Bacterial Leptospirosis rabies and morbillivirus have been recorded,1
Interestingly the bears are thought by some to be more resistant than other carnivores to viral disease,1
The pollutant effect on the bears' immune systems however may end up decreasing their ability to cope with the naturally present immunological threats it encounters and in such a challenging habitat even minor weaknesses can lead to serious problems and quick death,1
The ursidae family is believed to have differentiated from other carnivora about 38 million years ago,1
The ursinae genus originated some 4 million years ago,1
According to both fossil and DNA evidence the polar bear diverged from the brown bear roughly 200 thousand years ago,1
The oldest known polar bear fossil is less than 100 thousand years old,1
Fossils show that between 10 and 20 thousand years ago the polar bear's molar teeth changed significantly from those of the brown bear,1
However more recent genetic studies have shown that some clades of Brown Bear are more closely related to polar bears than to other brown bears meaning that the polar bear is not a true species according to some species concepts,1
Otters are amphibious (or in one case aquatic) carnivorous mammals,2
The otter subfamily Lutrinae forms part of the family Mustelidae which also includes weasels polecats badgers as well as others,2
With 13 species in 7 genera otters have an almost worldwide distribution,2
An otter's den is called a holt,2
Male otters are dog-otters females are bitches and babies are cubs or pups,2
The collective noun romp is sometimes used for a group of otters being descriptive of their often playful nature,2
Otters have long slim bodies and relatively short limbs with webbed paws,2
Most have sharp claws on their feet and all but the sea otter have long muscular tails,2
They have a very soft underfur which is protected by their outer layer of long guard hair,2
This traps a layer of air and keeps them dry and warm under water,2
Otters do not depend on their specialized fur alone for survival in the cold waters where many live: they also have very high metabolic rates,2
For example Eurasian otters must eat 15% of their body-weight a day and sea otters 20 to 25% depending on the temperature,2
In water as warm as 10°C an otter needs to catch 100 g of fish per hour to survive,2
Most species hunt for 3 to 5 hours a day and nursing mothers up to 8 hours a day,2
Most otters have fish as the primary item in their diet supplemented by frogs crayfish and crabs,2
Some are expert at opening shellfish and others will take any available small mammals or birds,2
This prey-dependence leaves otters very vulnerable to prey depletion,2
Otters are very active chasing prey in the water or searching the beds of rivers lakes or the sea,2
Most species live beside water entering it mainly to hunt or travel otherwise spending much of their time on land to avoid their fur becoming waterlogged,2
The sea otter lives actually in the sea,2
Otters are playful animals for example sliding repeatedly down snowy slopes apparently from sheer enjoyment,2
Different species vary in their social structure with some being largely solitary while others live in groups   in a few species these groups may be fairy large,2
The following are short descriptions of a selection of species (see below for full list),2
The northern river otter (Lontra canadensis) became one of the major animals hunted and trapped for fur in North America after European contact,2
As one of the most playful curious and active species of otter they have become a popular exhibit in zoos and aquaria but unwelcome on agricultural land because they alter river banks for access sliding and defense ,2
River otters eat a variety of fish and shellfish as well as small land mammals and birds,2
They grow to 1 m (3 to 4 feet) in length and weigh from 5 to 15 kg (10 to 30 pounds),2
In some areas this is a protected species and some places have otter sanctuaries which help ill and injured otters to recover,2
A sea otter in Morro Bay California,2
